iter	Passed	Remaining
968	83665	89018
969	83763	88944
970	83849	88858
971	83928	88763
972	84010	88673
973	84090	88580
974	84170	88486
975	84253	88396
976	84334	88305
977	84416	88214
978	84496	88121
979	84578	88031
980	84660	87940
981	84741	87847
982	84823	87757
983	84909	87671
984	84994	87583
985	85077	87493
986	85160	87403
987	85240	87311
988	85319	87217
989	85404	87129
990	85498	87051
991	85578	86958
992	85684	86892
993	85765	86801
994	85850	86712
995	85934	86624
996	86016	86534
997	86096	86441
998	86179	86351
999	86260	86260
1000	86341	86169
1001	86422	86077
1002	86501	85984
1003	86594	85904
1004	86675	85812
1005	86753	85718
1006	86833	85626
1007	86919	85539
1008	87000	85448
1009	87084	85360
1010	87166	85269
1011	87250	85181
1012	87331	85090
1013	87416	85002
1014	87496	84910
1015	87580	84822
1016	87663	84733
1017	87759	84655
1018	87842	84566
1019	87925	84477
1020	88010	84389
1021	88090	84298
1022	88188	84222
1023	88275	84137
1024	88355	84045
1025	88441	83958
1026	88526	83872
1027	88631	83803
1028	88758	83755
1029	88853	83677
1030	88934	83586
1031	89015	83495
1032	89099	83406
1033	89198	83332
1034	89284	83246
1035	89365	83154
1036	89450	83067
1037	89534	82978
1038	89614	82887
1039	89694	82795
1040	89777	82705
1041	89857	82613
1042	89940	82524
1043	90024	82436
1044	90107	82346
1045	90186	82254
1046	90269	82165
1047	90352	82075
1048	90440	81990
1049	90525	81903
1050	90607	81814
1051	90691	81726
1052	90772	81634
1053	90853	81544
1054	90939	81457
1055	91025	81371
1056	91108	81282
1057	91187	81190
1058	91267	81097
1059	91349	81007
1060	91432	80918
1061	91517	80831
1062	91598	80741
1063	91680	80651
1064	91763	80562
1065	91855	80481
1066	91948	80400
1067	92047	80326
1068	92137	80243
1069	92224	80157
1070	92307	80068
1071	92394	79983
1072	92478	79894
1073	92565	79810
1074	92651	79723
1075	92737	79637
1076	92824	79551
1077	92910	79464
1078	93001	79383
1079	93108	79314
1080	93199	79232
1081	93292	79152
1082	93376	79064
1083	93465	78980
1084	93558	78899
1085	93649	78817
1086	93759	78750
1087	93849	78668
1088	93945	78589
1089	94041	78511
1090	94137	78433
1091	94231	78353
1092	94320	78269
1093	94409	78185
1094	94490	78095
1095	94575	78007
1096	94670	77928
1097	94758	77843
1098	94840	77753
1099	94924	77665
1100	95007	77576
1101	95096	77492
1102	95184	77407
1103	95272	77322
1104	95377	77251
1105	95477	77175
1106	95556	77083
1107	95641	76996
1108	95747	76926
1109	95828	76835
1110	95915	76749
1111	95997	76659
1112	96082	76572
1113	96165	76483
1114	96246	76393
1115	96340	76313
1116	96426	76226
1117	96509	76137
1118	96592	76048
1119	96674	75958
1120	96755	75867
1121	96838	75778
1122	96928	75695
1123	97010	75605
1124	97095	75518
1125	97181	75431
1126	97266	75344
1127	97348	75255
1128	97432	75166
1129	97514	75077
1130	97597	74988
1131	97683	74902
1132	97765	74812
1133	97847	74722
1134	97930	74633
1135	98009	74542
1136	98093	74454
1137	98178	74367
1138	98267	74282
1139	98350	74193
1140	98433	74105
1141	98513	74014
1142	98596	73926
1143	98680	73838
1144	98760	73747
1145	98844	73659
1146	98929	73571
1147	99012	73483
1148	99097	73395
1149	99189	73314
1150	99271	73224
1151	99353	73135
1152	99438	73048
1153	99520	72958
1154	99600	72868
1155	99684	72779
1156	99764	72689
1157	99848	72601
1158	99931	72512
1159	100015	72424
1160	100098	72336
1161	100183	72249
1162	100265	72160
1163	100346	72069
1164	100429	71981
1165	100523	71901
1166	100609	71814
1167	100691	71725
1168	100773	71636
1169	100853	71545
1170	100934	71455
1171	101021	71370
1172	101107	71283
1173	101187	71193
1174	101270	71105
1175	101354	71017
1176	101440	70930
1177	101524	70842
1178	101606	70754
1179	101688	70665
1180	101773	70578
1181	101856	70489
1182	101938	70400
1183	102021	70312
1184	102104	70223
1185	102189	70136
1186	102275	70050
1187	102358	69962
1188	102447	69877
1189	102529	69789
1190	102612	69700
1191	102701	69616
1192	102789	69531
1193	102870	69441
1194	102950	69351
1195	103032	69262
1196	103116	69174
1197	103198	69086
1198	103281	68998
1199	103363	68908
1200	103443	68818
1201	103526	68730
1202	103607	68640
1203	103691	68553
1204	103794	68478
1205	103877	68390
1206	103961	68302
1207	104042	68213
1208	104125	68125
1209	104209	68037
1210	104291	67948
1211	104376	67861
1212	104458	67773
1213	104541	67685
1214	104622	67595
1215	104701	67505
1216	104786	67418
1217	104867	67328
1218	104949	67239
1219	105032	67151
1220	105116	67064
1221	105200	66976
1222	105285	66890
1223	105366	66800
1224	105447	66711
1225	105530	66623
1226	105613	66535
1227	105709	66455
1228	105799	66372
1229	105881	66283
1230	105964	66195
1231	106050	66109
1232	106131	66020
1233	106213	65931
1234	106295	65842
1235	106376	65753
1236	106455	65663
1237	106540	65576
1238	106623	65488
1239	106705	65399
1240	106788	65311
1241	106872	65224
1242	106953	65135
1243	107039	65050
1244	107127	64964
1245	107206	64874
1246	107287	64785
1247	107370	64697
1248	107455	64611
1249	107536	64521
1250	107628	64439
1251	107713	64352
1252	107799	64266
1253	107883	64179
1254	107964	64090
1255	108043	64000
1256	108126	63912
1257	108207	63823
1258	108289	63735
1259	108371	63646
1260	108452	63557
1261	108535	63469
1262	108616	63380
1263	108699	63293
1264	108781	63204
1265	108866	63118
1266	108948	63030
1267	109031	62942
1268	109113	62854
1269	109197	62766
1270	109277	62677
1271	109362	62591
1272	109445	62503
1273	109525	62414
1274	109608	62326
1275	109692	62239
1276	109774	62151
1277	109855	62062
1278	109938	61974
1279	110021	61887
1280	110106	61800
1281	110188	61712
1282	110270	61624
1283	110353	61536
1284	110438	61450
1285	110519	61361
1286	110599	61272
1287	110682	61184
1288	110764	61096
1289	110845	61008
1290	110931	60921
1291	111014	60834
1292	111099	60748
1293	111178	60658
1294	111261	60570
1295	111344	60483
1296	111426	60395
1297	111507	60306
1298	111587	60217
1299	111680	60135
1300	111764	60048
1301	111847	59961
1302	111931	59874
1303	112015	59787
1304	112100	59701
1305	112184	59614
1306	112265	59525
1307	112347	59437
1308	112432	59351
1309	112517	59264
1310	112597	59175
1311	112679	59088
1312	112759	58998
1313	112839	58909
1314	112918	58820
1315	113002	58733
1316	113086	58646
1317	113168	58558
1318	113250	58471
1319	113331	58383
1320	113414	58295
